date_received,queue_name,agent_number,answered,consult,transfer,hangup,call_type
2014-03-01 14:05:28,30175,6985.0,2014-03-01 14:07:45,NULL,NULL,2014-03-01 14:09:10,5
2014-03-01 14:07:31,30175,8496.0,2014-03-01 14:08:24,NULL,NULL,2014-03-01 14:10:59,5
2014-03-01 14:08:14,30172,6985.0,2014-03-01 14:09:12,NULL,NULL,2014-03-01 14:19:56,2
2014-03-01 14:09:26,30560,8496.0,2014-03-01 14:11:05,NULL,NULL,2014-03-01 14:13:02,20
2014-03-01 14:10:09,30175,8077.0,2014-03-01 14:12:55,NULL,NULL,2014-03-01 14:17:16,5
2014-03-01 14:10:13,30175,8496.0,2014-03-01 14:13:08,NULL,NULL,2014-03-01 14:15:17,5
2014-03-01 14:13:41,30560,7819.0,2014-03-01 14:15:10,NULL,NULL,2014-03-01 14:20:30,20
2014-03-01 14:16:00,30175,8496.0,2014-03-01 14:16:01,NULL,NULL,2014-03-01 14:16:36,5
2014-03-01 14:18:22,30560,8496.0,2014-03-01 14:18:23,NULL,NULL,2014-03-01 14:19:12,20
2014-03-01 14:19:04,30175,8496.0,2014-03-01 14:19:18,NULL,NULL,2014-03-01 14:23:38,5
2014-03-01 14:21:07,30175,6985.0,2014-03-01 14:21:08,NULL,NULL,2014-03-01 14:27:13,5
2014-03-01 14:21:17,30175,7819.0,2014-03-01 14:21:18,NULL,NULL,2014-03-01 14:23:36,5
2014-03-01 14:21:30,30175,7819.0,2014-03-01 14:23:41,NULL,NULL,2014-03-01 14:24:42,5
2014-03-01 14:24:38,30175,8496.0,2014-03-01 14:24:38,NULL,NULL,2014-03-01 14:25:41,5
2014-03-01 14:25:49,30560,7819.0,2014-03-01 14:25:50,NULL,NULL,2014-03-01 14:29:01,20
2014-03-01 14:26:19,30560,8496.0,2014-03-01 14:26:20,NULL,NULL,2014-03-01 14:32:10,20
2014-03-01 14:27:42,30175,8077.0,2014-03-01 14:27:43,NULL,NULL,2014-03-01 14:31:36,5
2014-03-01 14:31:35,30175,6985.0,2014-03-01 14:31:36,NULL,NULL,2014-03-01 14:41:07,5
2014-03-01 14:38:26,30175,7819.0,2014-03-01 14:38:27,NULL,NULL,2014-03-01 14:42:02,5
2014-03-01 14:38:32,30172,8077.0,2014-03-01 14:38:32,NULL,NULL,2014-03-01 14:44:40,2
2014-03-01 14:40:51,30560,8496.0,2014-03-01 14:40:52,NULL,NULL,2014-03-01 14:43:11,20
2014-03-01 14:41:05,30175,6985.0,2014-03-01 14:41:09,NULL,NULL,2014-03-01 14:44:01,5
2014-03-01 14:41:55,30175,7819.0,2014-03-01 14:42:08,NULL,NULL,2014-03-01 14:46:34,5
2014-03-01 14:43:03,30172,8496.0,2014-03-01 14:43:16,2014-03-01 14:44:43,2014-03-01 14:45:14,2014-03-01 14:46:17,2
